"peer_type","peer_id","title","is_group","is_channel","is_user","unread_count"
"user","1598504742","×‘× ×™","False","False","True","0"
"user","8347658741","(no title)","False","False","True","0"
"user","7428462177","(no title)","False","False","True","0"
"user","8341786274","(no title)","False","False","True","0"
"user","1513323938","Chat ID Bot","False","False","True","0"
"user","8202998891","(no title)","False","False","True","0"
"user","7642011813","×،×•×œ","False","False","True","0"
"user","8252413472","×¤×گ×“×™ ×©×›×ں","False","False","True","1"
"user","7943078035","UnlimintDemoPayBot","False","False","True","0"
"user","8153616831","×¦×•×£","False","False","True","1"
"user","7991751339","×™×–×”×¨ ًں¦‹","False","False","True","1"
"user","5938007183","×“×•×§×ک×•×¨ ×’×¨×™×ں(×”×‍×§×•×¨×™)ًںŒ·â‌¤ï¸ڈ","False","False","True","14"
"user","6503577151","Chat id bot","False","False","True","0"
"user","7605427093","(no title)","False","False","True","0"
"chat","797434437","×”×¤×•×¨×•×‌ ×œ×§×™×“×•×‌ ×ھ×™×™×¨×•×ھ ×‍×§×™×™×‍×ھ ×‘×œ×‘ ×’×œ×™×œ","True","False","False","2"
"channel","1179910364","×©×¨×•×ھ×™ ×¤×¨× ×،×” ×¢×ھ×™×“×™×™×‌ (×›×œ×›×œ×” ×‘×œ×©×•×ں ×¢×‘×¨) ×©× ×گ×‍×¨ : ""×گ×ڑ ×ک×•×‘ ×•×—×،×“ ×™×™×¨×“×¤×•× ×™ ×›×œ ×™×‍×™ ×—×™×™""","True","True","False","0"
"user","8210849474","×¢× ×‘×œ","False","False","True","1"
"user","8093855582","(no title)","False","False","True","1"
"user","8275734324","×—×’×™×ھ ×گ×œ×‍×•×’ ًںک‡âڑ•ï¸ڈ","False","False","True","1"
"user","7982132032","×گ×œ×›×، ×ھ×•×¤×™×‌ ×‘×™×ک","False","False","True","1"
"user","7669246228","×،×گ×œ×™ ًں”®","False","False","True","1"
"user","6683215690","(no title)","False","False","True","0"
"channel","1258764452","DRIP (CTO) Community TakeOver","True","True","False","909"
"user","8110841524","×•×¨×“","False","False","True","1"
"user","1260404475","×”×ھ×¤×–×•×¨×ھ ×©×œ ×¤×گ×‘×œ×•","False","False","True","1"
"channel","1287519782","Crypto Signals Trading Binance","False","True","False","2573"
"channel","1773961455","Crypto Pump fun","False","True","False","1"
"user","7737991607","×‍×™×§×™","False","False","True","1"
"user","7759298370","× ×¢×‌ ×”×¨×‘×™","False","False","True","1"
"user","8185446746","×“× ×”","False","False","True","1"
"user","8052340415","×گ×•×¨×™ ×‘×™×ھ×ں","False","False","True","1"
"user","7835094785","(no title)","False","False","True","0"
"user","8101595874","× ×•×¢×‌","False","False","True","1"
"user","8157188681","×¢×™×“×ں ×¨×™×›×ک×¨ ×،×گ×•× ×“×‍×ں","False","False","True","1"
"user","7926144705","×گ×™×‘ًں¤چ(×‍× ×”×œ×ھ ×”×–×‍× ×•×ھ)","False","False","True","0"
"user","7937351185","(no title)","False","False","True","0"
"user","8192274419","×گ×œ×™× ×” (×‍× ×”×œ×ھ ×”×–×‍× ×•×ھ)","False","False","True","0"
"user","8008096382","×گ×•×¤×§ ×”×ھ×™×‍× ×™","False","False","True","1"
"user","7843220612","Michael ًںکژ","False","False","True","8"
"channel","2500238413","×¤×œ×ک×¤×•×¨×‍×ھ Baby girls ×”×‍×•×‘×™×œ×” ×‘×¢×•×œ×‌","False","True","False","0"
"user","8004233647","×’'×•× ×™","False","False","True","1"
"user","7509563623","×‘×¨×§ ×©×›×ں","False","False","True","1"
"user","6167626994","PlayDeck","False","False","True","11"
"channel","2324510206","×”× ×¢×¨×•×ھ ×”×©×•×•×ھ â‌¤ï¸ڈ","False","True","False","0"
"user","5741272273","Ton Console","False","False","True","0"
"user","1518680802","×¢×™×“× ×¦×•'×§ ًںŒ±","False","False","True","0"
"user","7983573320","(no title)","False","False","True","1"
"user","7980117292","×¨×•×™×ک×œ","False","False","True","1"
"channel","1859296534","×”×ھ×¤×¨×™×کًںچ”×©×œ ×“×•×§×ک×•×¨ ×’×¨×™×ںًں‘¨â€چâڑ•ï¸ڈًں’‌","False","True","False","707"
"user","7525837109","×“×¤×™ × ×گ×•×¨ ×§×،×™×• ×گ×™×‍×•×ں ×¨×’×©×™","False","False","True","1"
"user","1352057991","×©×¨×™×ھ","False","False","True","1"
"user","7674823293","×œ×™×گ×•×¨","False","False","True","1"
"user","7659676267","×‍×¢×™×™×ں ×،×•×•×™×، ًںŒˆ","False","False","True","1"
"channel","2096690428","Chat ID","False","True","False","0"
"user","437553608","Aviram","False","False","True","0"
"channel","1798673537","Telegram Premium","False","True","False","3"
"channel","1835053629","(ًں’ژ)FOREX GOLD SINGNAL(ًں’ژ)","False","True","False","404"
"user","7448302606","(no title)","False","False","True","1"
"user","7130697437","Digital Resistance","False","False","True","1"
"user","7601289203","(no title)","False","False","True","1"
"channel","1698117260","EnerVybez","False","True","False","31"
"channel","1568206963","×§×گ× ×” ×§×•× ×§×©×ں - ×”×¢×¨×•×¥ ×”×—×“×©","False","True","False","829"
"user","7880348300","×‍×¢×™×™×ں","False","False","True","1"
"channel","1892377497","God bless you","False","True","False","2"
"user","7635393918","×¨×•× ×ں","False","False","True","1"
"user","7728157421","×©×›×ں ×©×œ ×“× ×™×،","False","False","True","1"
"user","7508048718","×©×™","False","False","True","1"
"user","7616446389","× ×‍×¨×•×“ ×‘×،×™×،×ک","False","False","True","1"
"user","7745098988","(no title)","False","False","True","1"
"user","8100121572","×‍×™×¨×™","False","False","True","1"
"user","7904270402","×گ×™×™×œ×ھ","False","False","True","1"
"user","8065132424","(no title)","False","False","True","1"
"user","7425063972","×©×‍×•×œ×™×§ × ×•×”","False","False","True","1"
"user","7622419889","× ×™×¨","False","False","True","1"
"user","7819869245","×ک×œ ×‘×،×™×،×ک","False","False","True","1"
"user","7437553984","×“×•×¨","False","False","True","1"
"user","7628910544","(no title)","False","False","True","1"
"user","7982730102","(no title)","False","False","True","1"
"user","7552231129","×‘×•×¨×™×،","False","False","True","1"
"user","5305315428","BinanceMaster | Crypto Bot","False","False","True","11"
"user","7509465709","×™×”×•×“×” ×¤×¨×،×™","False","False","True","1"
"channel","2031788734","outhematrix community","True","True","False","18"
"user","7954942177","(no title)","False","False","True","1"
"user","7249432100","Not Pixel","False","False","True","4"
"user","7377173955","×گ×™×¦×™×§","False","False","True","1"
"user","6916090385","HoldCoin","False","False","True","6"
"user","7806247363","×گ×œ×›×،","False","False","True","1"
"user","7915580754","×¢×‍×¨×™","False","False","True","1"
"user","7986897964","(no title)","False","False","True","1"
"user","7697913645","×©×‍×•×œ×™×§","False","False","True","1"
"user","7772889289","×©×¨×•×ں","False","False","True","1"
"user","7942623236","×¨×•×ں ×©×¨×™×گ×¨","False","False","True","1"
"user","7018377276","(no title)","False","False","True","1"
"user","7837460479","×گ×¨×– ×’×¨×¤×™×ک×™","False","False","True","1"
"user","7716391182","×گ×‘×™","False","False","True","1"
"user","7633850173","×¢×•×“×“","False","False","True","1"
"user","7738976827","ً‌گ“ً‌گژً‌گچ ً‌گ± ً‌گچً‌گژً‌گ“ ً‌گ’ً‌گڈً‌گˆً‌گچً‌گ’","False","False","True","37"
"user","7694131974","(no title)","False","False","True","1"
"user","7926582237","maxx","False","False","True","1"
"user","8063712200","× ×¢×‍×™","False","False","True","1"
"user","7725175607","(no title)","False","False","True","1"
"user","7726843185","×“×•×¨","False","False","True","1"
"user","1566182791","×گ×œ×™×”","False","False","True","1"
"user","7890303934","×‘×™''×،","False","False","True","1"
"user","7675191450","×¨×گ×•×£","False","False","True","1"
"user","7466055776","GOATS ًںگگ","False","False","True","0"
"user","7440437426","(no title)","False","False","True","2"
"user","2087250462","Wallet Support Team","False","False","True","0"
"user","7140695621","×–×”×‘×™×ھ","False","False","True","1"
"user","6186257981","Crypto Futures | Marco Hunter ًں¤–","False","False","True","2"
"user","7287076299","×“×’ ًںگ ","False","False","True","1"
"user","7715552923","×œ×گ ×™×•×“×¢ ×‍×™ ×–×”","False","False","True","1"
"user","7572990069","×¨×•× ×”","False","False","True","1"
"user","6631818294","(no title)","False","False","True","0"
"user","6685490986","TON ID","False","False","True","0"
"user","8102965490","×‘×™""×، ×گ3","False","False","True","1"
"user","6363910343","Not Games Bot","False","False","True","0"
"user","178220800","Spam Info Bot","False","False","True","0"
